food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg
Pistachio nuts (Pistacia vera),Nuts and oil seeds,23.35,539.44,1053,537,6.93
Safflower seeds (Carthamus tinctorius),Nuts and oil seeds,17.66,473.47,550,644,3.05
Sunflower seeds (Helianthus annuus),Nuts and oil seeds,23.53,586.28,559,752,1.9
Walnut (Juglans regia),Nuts and oil seeds,14.92,671.37,457,400,1.33
"Jaggery, cane (Saccharum officinarum)",Sugars,1.85,353.73,488,74.53,25.38
"Sugarcane, juice (Saccharum officinarum)",Sugars,0.16,57.84,150,22.08,1.16
"Button mushroom, fresh (Agaricus sp.)",Mushrooms,3.68,27.49,318,87.11,7.72
"Chicken mushroom, fresh (Lactiporus sp.)",Mushrooms,1.84,21.27,340,79.74,10.22
"Shiitake mushroom, fresh (Lentinula sp.)",Mushrooms,3.19,58.08,323,96.36,9.3
"Oyster mushroom, dried (Pleurotus sp.)",Mushrooms,19.04,243.55,350,702,8.67
