food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
Fig (Ficus carica),Fruits,2.03,81.5,231.0,21.62,2.37,Moderate,Vegetarian,89.2805
Gooseberry (Emblica officinalis),Fruits,0.34,23.66,223.0,21.85,1.37,Moderate,Vegetarian,88.029
"Grapes, seeded, round, black (Vitis vinifera)",Fruits,0.76,60.71,171.0,21.04,1.93,Safe,Vegetarian,91.0615
"Grapes, seeded, round, green (Vitis vinifera)",Fruits,0.77,56.17,166.0,19.5,1.89,Safe,Vegetarian,91.40050000000001
"Grapes, seeded, round, red (Vitis vinifera)",Fruits,0.95,58.32,188.0,27.91,1.59,Safe,Vegetarian,90.075
"Grapes, seedless, oval, black (Vitis vinifera)",Fruits,1.41,94.41,237.0,29.02,1.83,Moderate,Vegetarian,88.01750000000001
"Grapes, seedless, round, green (Vitis vinifera)",Fruits,0.62,53.54,168.0,20.27,1.81,Safe,Vegetarian,91.116
"Grapes, seedless, round, black (Vitis vinifera)",Fruits,1.24,89.39,235.0,26.68,1.92,Moderate,Vegetarian,88.05999999999999
"Guava, white flesh (Psidium guajava)",Fruits,1.44,32.27,283.0,23.54,2.87,Moderate,Vegetarian,85.96949999999998
"Guava, pink flesh (Psidium guajava)",Fruits,1.19,46.61,270.0,29.93,1.89,Moderate,Vegetarian,86.099
"Jack fruit, ripe (Artocarpus heterophyllus)",Fruits,2.74,72.18,279.0,23.02,1.62,Moderate,Vegetarian,87.55799999999999
"Jambu fruit, ripe (Syzygium samarangense)",Fruits,0.82,56.17,103.0,9.6,2.64,Safe,Vegetarian,95.05799999999998
Karonda fruit (Carissa carandas),Fruits,1.15,33.7,351.0,32.62,2.55,Avoid,Vegetarian,81.84150000000001
"Lemon, juice (Citrus limon)",Fruits,0.41,36.57,113.0,9.86,1.21,Safe,Vegetarian,94.20649999999999
"Lime, sweet,pulp (Citrus limetta)",Fruits,0.76,27.25,182.0,20.55,1.17,Safe,Vegetarian,90.57400000000001
Litchi (Litchi chinensis),Fruits,0.99,53.78,161.0,23.32,0.54,Safe,Vegetarian,91.747
"Mango, ripe, banganapalli (Mangifera indica)",Fruits,0.54,41.83,144.0,11.07,1.34,Safe,Vegetarian,92.71950000000001
"Mango, ripe, gulabkhas (Mangifera indica)",Fruits,0.52,49.95,115.0,10.66,1.39,Safe,Vegetarian,94.16749999999999
